"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"1","Attention","Charlie Puth","Attention","3:31","USAT21700928","https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv"
"2","Something Just Like This","The Chainsmokers","Something Just Like This","4:08","USQX91700278","https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH"
"3","The Greatest","Sia","This Is Acting (Deluxe Version)","3:30","USRC11601332","https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO"
"4","Chicken Attack","The Gregory Brothers","Song Voyage","2:36","US92U1626004","https://open.spotify.com/track/0Q2bGwvx3oECbpe3W5yyBv"
"5","Sweater Weather","The Neighbourhood","I Love You.","4:00","USSM11300080","https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6"
"6","1-800-273-8255","Logic","Everybody","4:10","USUM71702778","https://open.spotify.com/track/5aFQU3VPCQ3YGfKBA4tLfj"
"7","There for You","Martin Garrix","There for You","3:42","NLM5S1600060","https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y"
"8","Shape of You","Ed Sheeran","Shape of You","3:54","GBAHS1600463","https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X"
"9","Cheap Thrills","Sia","This Is Acting","3:32","USRC11502935","https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j"
"10","Alone","Marshmello","Alone","4:34","CA6D21600147","https://open.spotify.com/track/12mGwph2YzDIlChtq3EdXP"
"11","Slow Hands","Niall Horan","Slow Hands","3:08","USUG11700631","https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh"
"12","Heavy (feat. Kiiara)","Linkin Park","One More Light","2:50","USWB11700188","https://open.spotify.com/track/104buTcnP2AsxqB7U1FIZ4"
"13","Move Your Body - Alan Walker Remix","Sia","This Is Acting (Deluxe Version)","3:38","USRC11602027","https://open.spotify.com/track/6LUOMjoORvAkdhBYvESO46"
"14","YOUTH","Troye Sivan","Blue Neighbourhood (Deluxe)","3:05","AUUM71501373","https://open.spotify.com/track/0nhBKubnVz9yFNNprBniWz"
"15","We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth","Nine Track Mind","3:38","USAT21502909","https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj"
"16","Mikazuki","Sayuri","Mikazukino Koukai","4:22","JPU901502275","https://open.spotify.com/track/74Y1fqOlR5LAebNUVbFvJg"
"17","Chandelier","Sia","1000 Forms Of Fear","3:36","USRC11400498","https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC"
"18","Treat You Better","Shawn Mendes","Illuminate (Deluxe)","3:08","USUM71604711","https://open.spotify.com/track/76t5B0ttSAje5KHmQbv88t"
"19","Cheap Thrills","Sia","This Is Acting","3:45","USRC11600201","https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6"
"20","WILD","Troye Sivan","Blue Neighbourhood (Deluxe)","3:39","AUUM71600363","https://open.spotify.com/track/0xexXKZ1CAIrNHhTUX5Qkh"
"21","Your Song","Rita Ora","Your Song","3:01","GBAHT1700323","https://open.spotify.com/track/5Mszd2USbXSLWGyN3NCwi2"
"22","Sorewa Chiisana Hikarinoyouna","Sayuri","Sorewa Chiisana Hikarinoyouna","4:33","JPU901600117","https://open.spotify.com/track/4KQTgmkSEBzsGS3qL1aX7G"
"23","This Town","Niall Horan","This Town","3:53","USUG11601029","https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7"
"24","Parallel Line","Sayuri","Mikazukino Koukai","4:59","JPU901700327","https://open.spotify.com/track/5uHqjLxdyG2W3inN52gRMs"
"25","I Built a Friend","Alec Benjamin","I Built a Friend","3:04","TCADC1706114","https://open.spotify.com/track/2SsfNnZUM0Xi3xTrkgoV0v"
"26","The Greatest","Sia","This Is Acting (Deluxe Version)","3:31","USRC11601818","https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1"
"27","FOOLS","Troye Sivan","Blue Neighbourhood (Deluxe)","3:40","AUUM71500833","https://open.spotify.com/track/5lMgUPtlARalVIGxl0xE3J"
"28","Thunder","Imagine Dragons","Evolve","3:07","USUM71704167","https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW"
"29","This Town - Nikö Blank Remix","Niall Horan","This Town (Remixes)","3:28","USUG11601656","https://open.spotify.com/track/3sQOW3ifUeO8hQEHWMR1TK"
"30","Elastic Heart","Sia","1000 Forms Of Fear","4:17","USRC11400976","https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz"
